x,mu_interventional,mu_observational,ace_interventional,ace_standardized,copula_xz_family,copula_yz_family,copula_xy_family,copula_xz_tau,copula_yz_tau,copula_xy_tau
50.23616413964855,3.203513200564468,3.2803092393040965,-9.358936256400201e-4,-0.011961150115482634,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
51.404348681750534,3.202404433940785,3.27637994037618,-0.001002747112690843,-0.01281556836607337,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
52.572533223852524,3.2011704132111025,3.2722842401270755,-9.982278391306647e-4,-0.012757809975605374,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
53.74071776595451,3.2000722052784485,3.26888636269517,-0.0010848669039146264,-0.013865096991303666,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
54.9089023080565,3.1986357637163203,3.2647950826089853,-0.0012795666515928166,-0.016353449134778122,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
56.07708685015848,3.1970826653124886,3.2608244217674347,-0.0015734685146743057,-0.02010964984736837,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
57.24527139226046,3.194959560523667,3.256163126091179,-0.0016753679455689917,-0.021411971346545242,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
58.41345593436245,3.193168387439795,3.2529242981195616,-0.001468704167404262,-0.018770713401903644,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
59.58164047646444,3.191528125513102,3.2505192575670994,-0.001413273109463012,-0.018062279038284706,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
60.749825018566426,3.1898664598393087,3.2486330990972387,-0.0014909055976879315,-0.019054457871495248,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
61.91800956066841,3.1880448197671973,3.2472056647212058,-0.0017660295802868944,-0.022570668652378795,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
